lat,lon,name,addr
32.1487709447,-110.912613755,Choice Market,Tucson AZ
32.20636,-110.8890735,G & L Imports,4828 E 22nd St (swan & 22nd)
32.1563723106,-110.936084446,Frys,2101 E Irvington Rd
32.2226759287,-110.971390079,Rae's Place,25 N. Congress (Pennington/Congress)
32.2735189776,-110.945212029,Safeway,1767 E Prince Rd
32.20661777,-110.8559949,Albertsons,6363 E 22nd St
32.23507147,-110.811155,Quik Mart,8494 E Speedway Blvd
32.219840246,-110.771419091,Safeway,10380 E Broadway Blvd (Houghton)
32.1050782574,-110.786540791,Frys,8080 S Houghton Rd
32.2824392511,-110.977356892,99¢ Only Stores,4144 N Oracle Rd (Limberlost)
32.2074561941,-110.791837501,Fry's Food Store,9401 E 22nd St (Harrison/22nd)
32.190608688,-110.856028276,Safeway,6360 E Golf Links Rd (S Wilmot)
32.1690956136,-110.968252417,mercado y carniceria mexicana,Tucson AZ 85714
32.2578097167,-110.927114084,Aqua Vita,Tucson AZ 85716
32.2799821133,-110.96088854,Frys,4036 N 1st Ave
32.1922108012,-111.003378256,Mi Ranchito Market,1777 W 36th St (West of Mission)
32.3066781873,-111.010235852,Bashas',2000 W River Rd (La Cholla)
32.249596,-110.872843266,Safeway,5548 E Grant Rd (at N Craycroft Rd)
32.2196881157,-110.805469351,Safeway,8740 E Broadway Blvd (at Camino Seco)
32.2904656667,-110.995536767,Quick Mart,4611 N Flowing Wells Rd
32.1904305746,-110.842646224,Fry's Food Store,7050 E Golf Links Rd
32.2786827087,-110.944122314,City Wide Produce,N Campbell (Valencia)
32.1773225521,-111.110250103,Frys,3640 S 16th Ave
32.2498154648,-110.891140011,Trader Joe's,4766 E Grant Rd
32.15717137,-111.02871,Super Carniceria Del Valle,2611 W Drexel Rd
32.2047961434,-110.812011756,Frys,9402 E 22Nd St (22nd and Harrison)
32.1646377846,-110.942004563,Fry's Food Store,2001 E Irvington Rd (Campbell and Irvington)
32.3201293624,-110.975517365,Joy Asian Market,6261 N Oracle Rd Ste 111
32.3580319926,-111.045684814,Bashas',8360 N Thornydale Rd (at W Cortaro Farms Rd)
32.2852111724,-110.959730114,Sprouts Farmers Market,4282 N 1st Ave (Wetmore)
32.1905095959,-110.842547271,Frys,7050 E Golf Links Rd
32.2664882145,-110.893247207,Bashas',3275 N Swan Rd (at Camp Lowell)
32.2516077032,-110.908516645,Walmart Neighborhood Market,3925 E Grant Rd
32.2268837155,-110.96543493,Food Conspiracy Co-op,412 N 4th Ave
32.258543,-110.943861,Albertsons,2854 N Campbell (at Glenn St.)
32.2197952391,-110.771750859,Haggen,10380 E Broadway Blvd (Houghton)
32.2027015686,-110.973480225,la primavera market,1600 S 9th Ave (9th Ave and 26th Street)
32.2372904521,-110.893544078,Sprouts Farmers Market,4645 E Speedway Blvd (near Swan)
